,Autosomal_dominant,Clinvar,Drug_bank,GWAS_nearest,Haploinsufficient,MGI_essential,MissenseZ_Samocha,OMIM_diseasegenes,Olfactory,TF,Universe,eGenes_ENTREZ_Whole_Blood.v7.signif_variant_gene_pairs,eQTL_deficient,highPLI_Exac,highPhi,highShet_Cassa,high_EDS,indSNPs_r01_100kb,indSNPs_r01_10kb,indSNPs_r03_100kb,indSNPs_r03_10kb,indSNPs_r05_100kb,indSNPs_r05_10kb
0,0.12144241072850351,0.03990122890761469,0.1618319296294739,0.03437279969482105,0.253225241952356,0.060285355842965196,0.0944026123365508,0.07008381995185677,0.32083268607131316,0.05892427424628741,0.0,0.035322165506019576,0.11563183950055797,0.05559795297832279,0.14195961885531064,0.06065424109938666,0.05384205010552884,0.11978707725920328,0.11165645897623609,0.11551462783666905,0.11272351600947397,0.11646486090753873,0.1107530894369515
1,0.11273420659308332,0.03828524345328203,0.15759337540081977,0.03382345183823069,0.16772625808904523,0.06277030287908808,0.08467628931862357,0.06577869089616324,0.2251141999187904,0.06339263623964057,0.0,0.03499317406194308,0.1258981359773281,0.055624275607669985,0.13399435985411365,0.05849531180316278,0.059045147577452356,0.07410884862243493,0.06926938078808487,0.07278306834063289,0.06985563447152769,0.0711181765772397,0.06809532348659192
2,0.13180707500078737,0.04023983106775326,0.1831150152372748,0.0345094527648861,0.28275493360250104,0.06543393478261247,0.0846849769781052,0.07018765827838072,0.39700914665605286,0.06912689730180206,0.0,0.03602633259882798,0.11443397117336881,0.06090229009740838,0.1456835444767073,0.06481545698646726,0.06262846802830152,0.07254052943860297,0.07839718633545041,0.07277951951071651,0.0774893638760966,0.07311765749211196,0.07594857728119207
3,0.13989299368534294,0.04058820414872956,0.17633567158692354,0.033986986760748614,0.2928506441242989,0.06506539015401655,0.08928092607603313,0.07250420212056244,0.3937945061796003,0.07778790312892846,0.0,0.035248558072950305,0.13753271947366968,0.05929438227316726,0.14342184419601242,0.06192447822451636,0.06310655069387806,0.07379881801963221,0.0703010567222891,0.07051643916034538,0.07214273357918878,0.07357295987343575,0.07335559482415256
4,0.13558950826764626,0.040072049088853784,0.22704098106542125,0.034917538614157216,0.3473679794643748,0.06553393399636177,0.08967786888365495,0.07012422548196369,0.4537251441678575,0.07708213302190123,0.0,0.03551926051713087,0.11805182910775372,0.05682146163411029,0.13394996656549898,0.061310851272719055,0.06981737727745996,0.08170374376398391,0.07708833045315228,0.0798361561827525,0.07731441112026785,0.07984778472966293,0.0752237569336097
5,0.13722699513651512,0.03950202701238755,0.18390008924441056,0.03433904449051292,0.35732628222531604,0.06807479444774334,0.07745099866213133,0.06997877520851316,0.4537251441678575,0.10134154307374116,0.0,0.03528386469585506,0.13326458303102173,0.05316214835222352,0.11294402790918429,0.060160155134858465,0.0656513320494388,0.09306579819232738,0.08898149653784963,0.09134602681556657,0.09048743334782264,0.09258610617490834,0.09009420868609318
6,0.09348652650878866,0.03734419051671352,0.12524339941650925,0.03156865059869238,0.20733750910875928,0.05124618099179295,0.06713698332330138,0.05624870444263853,0.8767010812736168,0.08362655367622437,0.0,0.030580915597190464,0.2557976797272371,0.045925351673777016,0.09210215875473188,0.05345985138492711,0.053244177453202333,0.09644987523401186,0.09261570595961334,0.0930890962959183,0.09059311414323784,0.09484682092386237,0.08824372178479171
7,0.08825222268558579,0.03835573842723462,0.16505465203093767,0.03294487016015218,0.1467472268434943,0.05227398401639372,0.06874670399652194,0.06035742919402894,0.716948060456462,0.07018885712780025,0.0,0.03314096668354615,0.19226583866746738,0.05007854890762001,0.11308306168308925,0.05513559055129264,0.05282169283599743,0.07446921462011194,0.0705788163010459,0.07315686613823699,0.06923711987380884,0.0718046018285326,0.07000628838382097
8,0.11578182957761582,0.04103846203087292,0.18142322388393364,0.03454381389175122,0.33731124289514697,0.06463816912183243,0.08543206519774266,0.07102646835053583,0.32123197955316385,0.08098048632943845,0.0,0.0352997264274839,0.12268117514403684,0.05884924124968804,0.1548809532673116,0.058324663749526905,0.05826092437729313,0.0580097278882502,0.05503566200171564,0.057676056523093926,0.05627756886909587,0.0596519002914886,0.058569288109477376
9,0.13884073039825487,0.04071199419133854,0.17600982664474568,0.03403850950871054,0.3945415381141211,0.07167528624363534,0.097445074955909,0.06997877520851316,0.0,0.1079990391336607,0.0,0.035158320793779306,0.1352878548273795,0.06182253256702858,0.15172109049188132,0.06637510427000741,0.06602414094537369,0.07578167241809171,0.07448646227768416,0.07436173454093364,0.07139058311714043,0.07673404068329966,0.07234358626219176
